Type 1,Type 2,Difference in mean ranks,Z-value,p-value,Significant
3ms,18ms,3.3238095238095227,24.083288021048155,0.33333333333333337,Yes
3ms,48ms,3.533333333333335,25.601432251601352,1.0,Yes
18ms,48ms,0.20952380952381233,1.5181442305531996,-0.33333333333333326,Yes
