Type 1,Type 2,Difference in mean ranks,Z-value,p-value,Significant
3ms,18ms,1.2380952380952372,8.970852271450598,-0.33333333333333326,Yes
3ms,48ms,3.3428571428571416,24.221301132916626,1.0,Yes
18ms,48ms,2.1047619047619044,15.250448861466026,0.33333333333333337,Yes
