Type 1,Type 2,Difference in mean ranks,Z-value,p-value,Significant
3ms,18ms,0.8666666666666636,6.279596590015401,-0.33333333333333326,Yes
3ms,48ms,-1.2190476190476218,-8.832839159582154,0.33333333333333337,Yes
18ms,48ms,-2.0857142857142854,-15.112435749597555,1.0,Yes
