Type 1,Type 2,Difference in mean ranks,Z-value,p-value,Significant
3ms,18ms,-4.066666666666666,-29.465799383918522,1.0,Yes
3ms,48ms,-3.295238095238094,-23.876268353245447,0.33333333333333337,Yes
18ms,48ms,0.7714285714285722,5.589531030673075,-0.33333333333333326,Yes
