Type 1,Type 2,Difference in mean ranks,Z-value,p-value,Significant
ABR,MLR,-2.9523809523809526,-21.39203233961298,1.0,Yes
ABR,LLR,-2.4761904761904745,-17.941704542901196,0.33333333333333337,Yes
MLR,LLR,0.47619047619047805,3.4503277967117847,-0.33333333333333326,Yes
